F0distalX,F0distalY,F0distalZ,F0IntermediateX,F0IntermediateY,F0IntermediateZ,F0ProximalX,F0ProximalY,F0ProximalZ,F0TipDistanceToPalm,F1distalX,F1distalY,F1distalZ,F1IntermediateX,F1IntermediateY,F1IntermediateZ,F1ProximalX,F1ProximalY,F1ProximalZ,F1TipDistanceToPalm,F2distalX,F2distalY,F2distalZ,F2IntermediateX,F2IntermediateY,F2IntermediateZ,F2ProximalX,F2ProximalY,F2ProximalZ,F2TipDistanceToPalm,F3distalX,F3distalY,F3distalZ,F3IntermediateX,F3IntermediateY,F3IntermediateZ,F3ProximalX,F3ProximalY,F3ProximalZ,F3TipDistanceToPalm,F4distalX,F4distalY,F4distalZ,F4IntermediateX,F4IntermediateY,F4IntermediateZ,F4ProximalX,F4ProximalY,F4ProximalZ,F4TipDistanceToPalm,grabAngle,pinchDistance,armPitch,armYaw,armRoll,class 
-0.9077716,-0.22910659,-0.35137016,-0.8685562,-0.41408056,-0.27230024,-0.7809319,-0.60108775,-0.16982017,71.51761,0.8606873,-0.04096523,0.507483,0.9868483,-0.024989992,-0.15970573,-0.04047686,0.030819595,-0.99870515,44.31419,0.80369174,0.07032568,0.5908756,0.99653625,-0.031047106,-0.077147186,0.00877884,-0.14465298,-0.98944354,39.971752,0.79174113,-0.019963384,0.6105305,0.9817573,-0.18564637,-0.04108596,-0.0062345862,-0.19652112,-0.9804797,36.024372,0.8402648,-0.10090615,0.53270346,0.9217901,-0.37139714,-0.111207366,-0.12892425,-0.3072541,-0.9428538,35.29833,3.1415927,33.756527,2.1627316,1.6458566,1.6821802,alph
-0.9051068,-0.25456297,-0.34055787,-0.86809367,-0.41654092,-0.2700131,-0.78206766,-0.5996867,-0.16954672,71.70294,0.86047083,-0.040987596,0.5078484,0.98681736,-0.0250023,-0.15989539,-0.040584892,0.030826747,-0.9987005,44.314655,0.80218786,0.06381195,0.593652,0.9965289,-0.03823799,-0.073946714,0.01024276,-0.14359352,-0.9895838,39.937584,0.7889316,-0.023855358,0.61401784,0.9810003,-0.19044638,-0.03699544,-0.004410535,-0.19612822,-0.9805684,35.90021,0.8385074,-0.09973447,0.53568506,0.9223561,-0.37097645,-0.1078693,-0.12738284,-0.30773342,-0.9429071,35.24366,3.1415927,33.70465,2.2071087,1.6483893,1.6756436,alph
-0.8988544,-0.29419068,-0.32482702,-0.86711097,-0.41932547,-0.2688582,-0.78146505,-0.6005708,-0.16919509,72.08468,0.8622132,-0.04141836,0.50484943,0.98656034,-0.025430024,-0.16140577,-0.04337582,0.031002477,-0.9985777,44.353264,0.80413175,0.06072913,0.5913409,0.99620533,-0.04155597,-0.076473325,0.007244259,-0.14308691,-0.9896835,40.012917,0.79117984,-0.027421191,0.61096853,0.9802056,-0.19382524,-0.040359706,-0.0078014433,-0.19515342,-0.9807416,35.942745,0.84064305,-0.10451627,0.5314093,0.92036164,-0.3745762,-0.112371236,-0.1310558,-0.30603844,-0.94295526,35.278088,3.1415927,33.815697,2.1786194,1.6477605,1.6811956,alph
-0.8974818,-0.30781573,-0.31587297,-0.8690594,-0.41664556,-0.26672524,-0.78270024,-0.5998311,-0.16608144,72.02824,0.8643601,-0.04193166,0.5011221,0.98587024,-0.025858223,-0.1655027,-0.0467,0.031214923,-0.9984212,44.442673,0.8054056,0.06329961,0.58933437,0.9961349,-0.03871396,-0.07884425,0.0062466264,-0.14352232,-0.9896273,40.05744,0.79316664,-0.02477125,0.6085007,0.9808461,-0.19026347,-0.04172176,-0.008597285,-0.19551268,-0.9806635,36.003452,0.8425348,-0.10281952,0.5287376,0.92133725,-0.37175927,-0.11372161,-0.1313951,-0.3064091,-0.94278777,35.344048,3.1415927,33.981224,2.1499484,1.6464303,1.6861587,alph
-0.9016923,-0.28611463,-0.32417488,-0.8705982,-0.41265,-0.26791564,-0.78136075,-0.6021912,-0.16383265,71.81961,0.86759144,-0.043192044,0.49539828,0.9847502,-0.026989847,-0.1718679,-0.05460295,0.031735346,-0.9980037,44.57041,0.80751663,0.06754065,0.58596516,0.9959292,-0.034133375,-0.08342838,0.0019081831,-0.14419664,-0.98954713,40.118,0.7969744,-0.020463988,0.6036663,0.98171,-0.18465249,-0.04635644,-0.012999296,-0.19560389,-0.98059684,36.11858,0.8448949,-0.09858774,0.525769,0.92296445,-0.36675346,-0.11674145,-0.13453627,-0.30618483,-0.9424176,35.45164,3.1415927,34.343025,2.2243087,1.6564496,1.6824579,alph
-0.90634763,-0.24602164,-0.34352183,-0.87239325,-0.40352124,-0.2758635,-0.78103036,-0.6014612,-0.16803572,71.41037,0.8556813,-0.040409386,0.515923,0.9889067,-0.024765193,-0.14645869,-0.03654325,0.030576736,-0.9988642,44.024914,0.7909252,0.08444012,0.6060586,0.99788064,-0.01601082,-0.06307012,0.015366048,-0.14654097,-0.9890852,39.438297,0.78662026,0.0014066771,0.6174353,0.98589206,-0.16358408,-0.035455227,-0.0037691891,-0.19959848,-0.9798705,35.965633,0.8414098,-0.06950788,0.53590864,0.93378115,-0.34095985,-0.10862416,-0.12764922,-0.31208023,-0.9414412,35.608753,3.1415927,33.531704,2.3848734,1.6746508,1.6688966,alph
-0.9065535,-0.24757393,-0.34185958,-0.87372327,-0.40039,-0.27621686,-0.77526414,-0.61078185,-0.16096984,71.53438,0.833681,-0.038012177,0.5509366,0.9926781,-0.022731394,-0.11863166,-0.019511104,0.029581606,-0.999372,43.326527,0.77480704,0.10482898,0.62344605,0.9989145,0.0066519976,-0.04610437,0.025303692,-0.14911042,-0.9884967,38.793346,0.7769046,0.02642829,0.6290635,0.99015033,-0.13775288,-0.02503416,0.0018401742,-0.20327479,-0.9791201,35.8232,0.8354044,-0.042758003,0.5479703,0.9436362,-0.31669155,-0.09621501,-0.124656856,-0.31591183,-0.9405638,35.67089,3.1415927,33.37415,2.4576962,1.6896675,1.6678444,alph
-0.90702975,-0.23116122,-0.35193974,-0.8766948,-0.38607782,-0.28696704,-0.7766382,-0.6072855,-0.1674443,71.15552,0.8457358,-0.040250987,0.53208166,0.9906052,-0.024808288,-0.1344834,-0.03446716,0.030449972,-0.9989419,43.696796,0.78418565,0.10518529,0.6115464,0.99828887,0.0071225762,-0.058039278,0.016121596,-0.14956975,-0.9886197,39.097202,0.78670084,0.022074923,0.61693966,0.9894105,-0.14056519,-0.036167324,-0.006738037,-0.20209438,-0.97934294,36.053604,0.84238374,-0.049362883,0.5366125,0.9409083,-0.32079947,-0.10853204,-0.13263273,-0.31340218,-0.9403126,35.8218,3.1415927,33.510292,2.541495,1.6976374,1.6578392,alph
-0.90680504,-0.23059125,-0.35289136,-0.87972784,-0.3743677,-0.29313433,-0.77817166,-0.6046189,-0.1699556,70.88408,0.8487947,-0.040160738,0.5271951,0.9903229,-0.02470237,-0.136567,-0.034255385,0.03043735,-0.9989495,43.77096,0.7812006,0.10824272,0.6148243,0.9984672,0.010638148,-0.054314375,0.019886166,-0.14988767,-0.988503,38.990574,0.785469,0.021789528,0.6185173,0.98936087,-0.14120801,-0.035006702,-0.004439473,-0.20228484,-0.9793167,36.043427,0.8419658,-0.04720162,0.53746223,0.9411967,-0.31948823,-0.10989237,-0.13173217,-0.31393385,-0.9402617,35.85619,3.1415927,33.38417,2.568169,1.6939839,1.6505871,alph
-0.90446055,-0.26742053,-0.33232075,-0.8896657,-0.34413397,-0.30011123,-0.7785742,-0.60631335,-0.16188358,70.40835,0.8448124,-0.038094997,0.53370506,0.9915387,-0.022739708,-0.12780315,-0.02126807,0.02967982,-0.9993332,43.612465,0.76709366,0.12227669,0.62977445,0.99890983,0.026923835,-0.038136512,0.03565538,-0.15112129,-0.98787194,38.50677,0.7786185,0.03061819,0.62675,0.9909358,-0.13208789,-0.02447462,0.0058993697,-0.20442325,-0.97886485,35.92732,0.8352345,-0.03425911,0.54882574,0.9462627,-0.30855805,-0.096844256,-0.12099865,-0.318143,-0.9402895,35.791653,3.1415927,33.401688,2.7873206,1.741497,1.6344689,alph
